date,panjang_dewasa
2020-08-01,126
2020-09-01,99
2020-10-01,114
2020-11-01,79
2020-12-01,113
2021-01-01,78
2021-02-01,110
2021-03-01,65
2021-04-01,93
2021-05-01,50
2021-06-01,137
2021-07-01,105
2021-08-01,166
2021-09-01,102
2021-10-01,130
2021-11-01,94
2021-12-01,124
2022-01-01,98
2022-02-01,129
2022-03-01,100
2022-04-01,107
2022-05-01,92
2022-06-01,114
2022-07-01,93
2022-08-01,102
2022-09-01,62
2022-10-01,84
2022-11-01,55
2022-12-01,89
2023-01-01,65
2023-02-01,94
2023-03-01,77
2023-04-01,87
2023-05-01,48
2023-06-01,67
2023-07-01,54
2023-08-01,81
2023-09-01,62
2023-10-01,110
2023-11-01,95
2023-12-01,101
2024-01-01,76
2024-02-01,91
2024-03-01,67
2024-04-01,83
2024-05-01,43
2024-06-01,68
2024-07-01,53
2024-08-01,65
2024-09-01,44
2024-10-01,78
2024-11-01,44
2024-12-01,78
2025-01-01,42
2025-02-01,77
2025-03-01,45
2025-04-01,92
2025-05-01,51
2025-06-01,75
2025-07-01,66
2025-08-01,103
